Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.6,1.2,4.23,,0.00604,1.00E-06,1.636,0.002,0.0096119,8.00E-06,7,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,
,,,,,,,,,,,0.48,0.69,0,0,0.48,0.69,0,0,0.48,0.69,0,0,0.48,0.69,0,-0.09,0.48,0.69,0,0,0.48,0.69,-0.09,-24.99,0.48,0.53,0,12.36,0.48,0.69,0,0,0.48,0.69,0,1.12,0.48,0.69,0.12,3.18,0.48,0.69,0,0
,,,,,,,,,,,0.49,0.69,0,0,0.49,0.69,0,0,0.49,0.69,0,0,0.49,0.69,0,0.52,0.49,0.69,0,0,0.49,0.69,-0.47,-30.29,0.49,0.53,-0.02,12.66,0.49,0.69,0,0,0.49,0.69,0.01,-0.34,0.49,0.69,0.09,-4.9,0.49,0.69,0,0
,,,,,,,,,,,0.5,0.69,0,0,0.5,0.69,0,0,0.5,0.69,0,0,0.5,0.69,0.01,0.09,0.5,0.69,0,0,0.5,0.69,-0.7,-16.14,0.5,0.53,0.25,20.12,0.5,0.69,0,0,0.5,0.69,-0.01,-1.21,0.5,0.69,0.02,-9.55,0.5,0.69,0,0
,,,,,,,,,,,0.51,0.69,0,0,0.51,0.69,0,0,0.51,0.69,0,0,0.51,0.69,0,-0.6,0.51,0.69,0,0,0.51,0.68,-0.79,-5.94,0.51,0.53,0.38,1.41,0.51,0.69,0,0,0.51,0.69,-0.01,0.86,0.51,0.69,-0.1,-8.44,0.51,0.69,0,0
,,,,,,,,,,,0.52,0.69,0,0,0.52,0.69,0,0,0.52,0.69,0,0,0.52,0.69,0,0.52,0.52,0.69,0,0,0.52,0.67,-0.82,0.88,0.52,0.53,0.28,0.79,0.52,0.69,0,0,0.52,0.69,0.01,1.21,0.52,0.69,-0.15,3.18,0.52,0.69,0,0
,,,,,,,,,,,0.53,0.69,0,0,0.53,0.69,0,0,0.53,0.69,0,0,0.53,0.69,0.01,0.09,0.53,0.69,0,0,0.53,0.66,-0.77,3.47,0.53,0.54,0.4,-3.02,0.53,0.69,0,0,0.53,0.69,0.01,-0.86,0.53,0.69,-0.03,7.23,0.53,0.69,0,0
,,,,,,,,,,,0.54,0.69,0,0,0.54,0.69,0,0,0.54,0.69,0,0,0.54,0.69,0,-0.52,0.54,0.69,0,0,0.54,0.65,-0.75,3.22,0.54,0.54,0.22,4.82,0.54,0.69,0,0,0.54,0.69,-0.01,-1.21,0.54,0.69,0,-5.69,0.54,0.69,0,0
,,,,,,,,,,,0.55,0.69,0,0,0.55,0.69,0,0,0.55,0.69,0,0,0.55,0.69,0,0,0.55,0.69,0,0,0.55,0.65,-0.71,4.68,0.55,0.54,0.49,20.19,0.55,0.69,0,0,0.55,0.69,-0.01,0.86,0.55,0.69,-0.15,-18.43,0.55,0.69,0,0
,,,,,,,,,,,0.56,0.69,0,0,0.56,0.69,0,0,0.56,0.69,0,0,0.56,0.69,0,0.09,0.56,0.69,0,0,0.56,0.64,-0.66,5.27,0.56,0.55,0.62,-6.23,0.56,0.69,0,0,0.56,0.69,0.01,1.12,0.56,0.68,-0.37,-17.5,0.56,0.69,0,0
,,,,,,,,,,,0.57,0.69,0,0,0.57,0.69,0,0,0.57,0.69,0,0,0.57,0.69,0,-0.43,0.57,0.69,0,0,0.57,0.63,-0.6,4.68,0.57,0.55,0.37,-2.04,0.57,0.69,0,0,0.57,0.69,0.01,-0.43,0.57,0.68,-0.5,-10.97,0.57,0.69,0,0
